Month,Total Customers,Monthly Revenue,Churn Rate,Immediate Repurchase,Loyal Customer,Occasional Buyer,Discount Buyer,No Repurchase
0,10000,694270.8333333334,0.0,2500,2500,2500,2500,0
1,10000,636510.4166666666,7.5,1625,3000,2125,2500,750
2,9999,590015.8333333333,7.178378378378378,1451,2832,1970,2332,1414
3,9999,549455.0,6.849155503785672,1348,2638,1838,2173,2002
4,9998,513573.9583333334,6.502438414405402,1261,2463,1720,2032,2522
5,9998,481860.8333333333,6.166399143927234,1185,2308,1615,1907,2983
6,9999,453904.99999999994,5.816108339272986,1118,2172,1522,1796,3391
7,9999,429121.0416666667,5.463075060532688,1059,2051,1440,1697,3752
8,9998,407159.99999999994,5.106451096526333,1007,1944,1366,1610,4071
9,9998,387815.4166666666,4.7578876328665425,961,1850,1301,1533,4353
10,9997,370591.25,4.428697962798937,920,1766,1244,1464,4603
11,9997,355416.25,4.097144975899147,884,1692,1193,1404,4824
12,9997,341988.9583333333,3.7889039242219216,852,1627,1148,1350,5020
